1, forest, regions_unexplored:alpha_grove, minecraft:allay, CREATURE, 5, 1, 1
1941, desert, minecraft:desert, legendarycreatures:scorpion, CREATURE, 25, 2, 3
1942, desert, minecraft:desert, legendarycreatures:wisp, CREATURE, 5, 2, 2
1943, desert, minecraft:desert, minecraft:camel, CREATURE, 40, 2, 3
1944, desert, minecraft:desert, minecraft:rabbit, CREATURE, 30, 3, 5
1945, desert, minecraft:desert, alexsmobs:guster, MONSTER, 30, 2, 3
1946, desert, minecraft:desert, born_in_chaos_v1:scarlet_persecutor, MONSTER, 5, 1, 2
1947, desert, minecraft:desert, born_in_chaos_v1:siamese_skeletons, MONSTER, 10, 1, 2
1948, desert, minecraft:desert, born_in_chaos_v1:nightmare_stalker, MONSTER, 1, 1, 1
1949, desert, minecraft:desert, born_in_chaos_v1:restless_spirit, MONSTER, 2, 1, 2
1950, desert, minecraft:desert, born_in_chaos_v1:dark_vortex, MONSTER, 5, 1, 2
1951, desert, minecraft:desert, born_in_chaos_v1:corpse_fly, MONSTER, 5, 1, 2
1952, desert, minecraft:desert, born_in_chaos_v1:fallen_chaos_knight, MONSTER, 3, 1, 2
1953, desert, minecraft:desert, born_in_chaos_v1:decrepit_skeleton, MONSTER, 10, 2, 3
1954, desert, minecraft:desert, born_in_chaos_v1:decaying_zombie, MONSTER, 12, 2, 3
1955, desert, minecraft:desert, born_in_chaos_v1:zombie_bruiser, MONSTER, 10, 2, 3
1956, desert, minecraft:desert, creeperoverhaul:desert_creeper, MONSTER, 10, 2, 3
1957, desert, minecraft:desert, endermanoverhaul:desert_enderman, MONSTER, 15, 2, 3
1958, desert, minecraft:desert, minecraft:creeper, MONSTER, 10, 1, 2
1959, desert, minecraft:desert, minecraft:enderman, MONSTER, 10, 2, 3
1960, desert, minecraft:desert, minecraft:husk, MONSTER, 35, 2, 4
1961, desert, minecraft:desert, minecraft:skeleton, MONSTER, 10, 2, 3
1962, desert, minecraft:desert, minecraft:spider, MONSTER, 15, 2, 3
1963, desert, minecraft:desert, minecraft:witch, MONSTER, 3, 2, 3
1964, desert, minecraft:desert, minecraft:zombie, MONSTER, 20, 2, 4
1965, desert, minecraft:desert, minecraft:zombie_villager, MONSTER, 10, 2, 3

1966, the_end, betterend:dragon_graveyards, betterend:dragonfly, AMBIENT, 10, 2, 3
1967, the_end, betterend:dragon_graveyards, betterend:silk_moth, AMBIENT, 15, 3, 5
1968, the_end, betterend:dragon_graveyards, alexsmobs:cosmic_cod, AMBIENT, 10, 2, 3
1969, the_end, betterend:dragon_graveyards, betterend:end_fish, WATER_AMBIENT, 10, 2, 3
1970, the_end, betterend:dragon_graveyards, betterend:cubozoa, WATER_AMBIENT, 5, 1, 2
1971, the_end, betterend:dragon_graveyards, alexsmobs:endergrade, CREATURE, 10, 2, 4
1972, the_end, betterend:dragon_graveyards, alexsmobs:spectre, CREATURE, 10, 2, 3
1973, the_end, betterend:dragon_graveyards, alexsmobs:enderiophage, CREATURE, 10, 2, 3
1974, the_end, betterend:dragon_graveyards, alexsmobs:cosmaw, CREATURE, 5, 1, 2
1975, the_end, betterend:dragon_graveyards, legendarycreatures:ender_wisp, CREATURE, 10, 1, 2
1976, the_end, betterend:dragon_graveyards, minecraft:enderman, MONSTER, 20, 3, 5
1977, the_end, betterend:dragon_graveyards, minecraft:endermite, MONSTER, 10, 2, 3
1978, the_end, betterend:dragon_graveyards, betterend:end_slime, MONSTER, 10, 2, 3
1979, the_end, betterend:dragon_graveyards, betterend:shadow_walker, MONSTER, 5, 1, 2
1980, the_end, betterend:dragon_graveyards, mutantmonsters:mutant_enderman, MONSTER, 1, 1, 1
1981, the_end, betterend:dragon_graveyards, alexsmobs:mimicube, MONSTER, 10, 2, 3
1982, the_end, betterend:dragon_graveyards, alexsmobs:farseer, MONSTER, 2, 1, 2
1983, the_end, betterend:dragon_graveyards, cataclysm:endermaptera, MONSTER, 30, 2, 3
1984, the_end, betterend:dragon_graveyards, endermanoverhaul:end_enderman, MONSTER, 10, 2, 3
1985, the_end, betterend:dragon_graveyards, endermanoverhaul:end_islands_enderman, MONSTER, 10, 2, 3

1986, none, minecraft:dripstone_caves, minecraft:axolotl, AXOLOTLS, 5, 2, 4
1987, none, minecraft:dripstone_caves, minecraft:bat, AMBIENT, 40, 1, 2
1988, none, minecraft:dripstone_caves, alexsmobs:cockroach, AMBIENT, 15, 1, 3
1989, none, minecraft:dripstone_caves, alexsmobs:underminer, AMBIENT, 10, 1, 2
1990, none, minecraft:dripstone_caves, quark:stoneling, CREATURE, 5, 1, 2
1991, none, minecraft:dripstone_caves, quark:toretoise, CREATURE, 10, 1, 2
1992, none, minecraft:dripstone_caves, minecraft:glow_squid, UNDERGROUND_WATER_CREATURE, 20, 2, 3
1993, none, minecraft:dripstone_caves, minecraft:cave_spider, MONSTER, 15, 2, 3
1994, none, minecraft:dripstone_caves, minecraft:creeper, MONSTER, 15, 2, 3
1995, none, minecraft:dripstone_caves, minecraft:enderman, MONSTER, 10, 1, 2
1996, none, minecraft:dripstone_caves, minecraft:silverfish, MONSTER, 10, 1, 3
1997, none, minecraft:dripstone_caves, minecraft:skeleton, MONSTER, 15, 2, 3
1998, none, minecraft:dripstone_caves, minecraft:slime, MONSTER, 20, 2, 3
1999, none, minecraft:dripstone_caves, minecraft:spider, MONSTER, 10, 1, 2
2000, none, minecraft:dripstone_caves, minecraft:witch, MONSTER, 5, 1, 1
2001, none, minecraft:dripstone_caves, minecraft:zombie, MONSTER, 20, 2, 3
2002, none, minecraft:dripstone_caves, minecraft:zombie_villager, MONSTER, 10, 2, 2
2003, none, minecraft:dripstone_caves, mowziesmobs:grottol, MONSTER, 5, 1, 1
2004, none, minecraft:dripstone_caves, graveyard:skeleton_creeper, MONSTER, 10, 2, 3
2005, none, minecraft:dripstone_caves, graveyard:ghoul, MONSTER, 10, 2, 3
2006, none, minecraft:dripstone_caves, graveyard:revenant, MONSTER, 5, 1, 2
2007, none, minecraft:dripstone_caves, graveyard:nightmare, MONSTER, 5, 1, 2
2008, none, minecraft:dripstone_caves, alexsmobs:centipede_head, MONSTER, 3, 1, 1
2009, none, minecraft:dripstone_caves, alexsmobs:rocky_roller, MONSTER, 10, 1, 1
2010, none, minecraft:dripstone_caves, alexsmobs:murmur, MONSTER, 1, 1, 1
2011, none, minecraft:dripstone_caves, born_in_chaos_v1:decrepit_skeleton, MONSTER, 10, 2, 3
2012, none, minecraft:dripstone_caves, born_in_chaos_v1:decaying_zombie, MONSTER, 15, 2, 4
2013, none, minecraft:dripstone_caves, born_in_chaos_v1:restless_spirit, MONSTER, 10, 2, 3
2014, none, minecraft:dripstone_caves, born_in_chaos_v1:phantom_creeper, MONSTER, 5, 1, 2
2015, none, minecraft:dripstone_caves, born_in_chaos_v1:bone_imp, MONSTER, 5, 1, 2
2016, none, minecraft:dripstone_caves, born_in_chaos_v1:fallen_chaos_knight, MONSTER, 5, 1, 2
2017, none, minecraft:dripstone_caves, born_in_chaos_v1:scarlet_persecutor, MONSTER, 5, 1, 2
2018, none, minecraft:dripstone_caves, born_in_chaos_v1:corpse_fly, MONSTER, 10, 2, 3
2019, none, minecraft:dripstone_caves, born_in_chaos_v1:swarmer, MONSTER, 10, 2, 3
2020, none, minecraft:dripstone_caves, born_in_chaos_v1:spiritof_chaos, MONSTER, 5, 1, 2
2021, none, minecraft:dripstone_caves, endermanoverhaul:cave_enderman, MONSTER, 5, 1, 2
2022, none, minecraft:dripstone_caves, quark:forgotten, MONSTER, 5, 1, 1
2023, none, minecraft:dripstone_caves, creeperoverhaul:cave_creeper, MONSTER, 10, 2, 3

2024, none, minecraft:dripstone_caves, creeperoverhaul:dripstone_creeper, MONSTER, 10, 2, 2

2025, savanna, regions_unexplored:dry_bushland, minecraft:chicken, CREATURE, 15, 2, 4
2026, savanna, regions_unexplored:dry_bushland, minecraft:cow, CREATURE, 20, 2, 4
2027, savanna, regions_unexplored:dry_bushland, minecraft:donkey, CREATURE, 10, 2, 3
2028, savanna, regions_unexplored:dry_bushland, minecraft:horse, CREATURE, 15, 2, 4
2029, savanna, regions_unexplored:dry_bushland, minecraft:pig, CREATURE, 15, 2, 4
2030, savanna, regions_unexplored:dry_bushland, alexsmobs:gazelle, CREATURE, 25, 2, 3
2031, savanna, regions_unexplored:dry_bushland, alexsmobs:raccoon, CREATURE, 10, 2, 3
2032, savanna, regions_unexplored:dry_bushland, alexsmobs:elephant, CREATURE, 15, 1, 2
2033, savanna, regions_unexplored:dry_bushland, alexsmobs:emu, CREATURE, 20, 3, 5
2034, savanna, regions_unexplored:dry_bushland, alexsmobs:kangaroo, CREATURE, 10, 2, 3
2035, savanna, regions_unexplored:dry_bushland, alexsmobs:rhinoceros, CREATURE, 5, 1, 2
2036, savanna, regions_unexplored:dry_bushland, iceandfire:cockatrice, CREATURE, 5, 1, 1
2037, savanna, regions_unexplored:dry_bushland, legendarycreatures:wisp, CREATURE, 10, 2, 3
2038, savanna, regions_unexplored:dry_bushland, alexsmobs:fly, AMBIENT, 15, 3, 5
2039, savanna, regions_unexplored:dry_bushland, minecraft:creeper, MONSTER, 10, 2, 3
2040, savanna, regions_unexplored:dry_bushland, minecraft:enderman, MONSTER, 5, 1, 2
2041, savanna, regions_unexplored:dry_bushland, minecraft:skeleton, MONSTER, 15, 3, 5
2042, savanna, regions_unexplored:dry_bushland, minecraft:spider, MONSTER, 10, 2, 3
2043, savanna, regions_unexplored:dry_bushland, minecraft:witch, MONSTER, 5, 1, 2
2044, savanna, regions_unexplored:dry_bushland, minecraft:zombie, MONSTER, 20, 3, 5
2045, savanna, regions_unexplored:dry_bushland, minecraft:zombie_villager, MONSTER, 10, 2, 3
2046, savanna, regions_unexplored:dry_bushland, graveyard:skeleton_creeper, MONSTER, 10, 2, 3
2047, savanna, regions_unexplored:dry_bushland, graveyard:nightmare, MONSTER, 5, 1, 2
2048, savanna, regions_unexplored:dry_bushland, born_in_chaos_v1:decrepit_skeleton, MONSTER, 10, 2, 3
2049, savanna, regions_unexplored:dry_bushland, born_in_chaos_v1:skeleton_demoman, MONSTER, 10, 2, 3
2050, savanna, regions_unexplored:dry_bushland, born_in_chaos_v1:decaying_zombie, MONSTER, 15, 3, 5
2051, savanna, regions_unexplored:dry_bushland, born_in_chaos_v1:door_knight, MONSTER, 5, 1, 2
2052, savanna, regions_unexplored:dry_bushland, born_in_chaos_v1:restless_spirit, MONSTER, 5, 1, 2
2053, savanna, regions_unexplored:dry_bushland, born_in_chaos_v1:bone_imp, MONSTER, 5, 1, 2
2054, savanna, regions_unexplored:dry_bushland, born_in_chaos_v1:dark_vortex, MONSTER, 5, 1, 2
2055, savanna, regions_unexplored:dry_bushland, born_in_chaos_v1:dread_hound, MONSTER, 10, 2, 3
2056, savanna, regions_unexplored:dry_bushland, born_in_chaos_v1:fallen_chaos_knight, MONSTER, 5, 1, 2
2057, savanna, regions_unexplored:dry_bushland, born_in_chaos_v1:scarlet_persecutor, MONSTER, 5, 1, 2
2058, savanna, regions_unexplored:dry_bushland, born_in_chaos_v1:corpse_fly, MONSTER, 10, 2, 3
2059, savanna, regions_unexplored:dry_bushland, born_in_chaos_v1:zombie_bruiser, MONSTER, 15, 3, 5
2060, savanna, regions_unexplored:dry_bushland, born_in_chaos_v1:siamese_skeletons, MONSTER, 10, 2, 3
2061, savanna, regions_unexplored:dry_bushland, born_in_chaos_v1:nightmare_stalker, MONSTER, 5, 1, 2
2062, savanna, regions_unexplored:dry_bushland, endermanoverhaul:savanna_enderman, MONSTER, 5, 1, 2
2063, savanna, regions_unexplored:dry_bushland, creeperoverhaul:savannah_creeper, MONSTER, 10, 2, 3

2064, the_end, betterend:dry_shrubland, betterend:dragonfly, AMBIENT, 10, 2, 3
2065, the_end, betterend:dry_shrubland, betterend:silk_moth, AMBIENT, 15, 3, 5
2066, the_end, betterend:dry_shrubland, alexsmobs:cosmic_cod, AMBIENT, 10, 2, 3
2067, the_end, betterend:dry_shrubland, betterend:end_fish, WATER_AMBIENT, 10, 2, 3
2068, the_end, betterend:dry_shrubland, betterend:cubozoa, WATER_AMBIENT, 5, 1, 2
2069, the_end, betterend:dry_shrubland, alexsmobs:endergrade, CREATURE, 10, 2, 4
2070, the_end, betterend:dry_shrubland, alexsmobs:spectre, CREATURE, 10, 2, 3
2071, the_end, betterend:dry_shrubland, alexsmobs:enderiophage, CREATURE, 10, 2, 3
2072, the_end, betterend:dry_shrubland, alexsmobs:cosmaw, CREATURE, 5, 1, 2
2073, the_end, betterend:dry_shrubland, legendarycreatures:ender_wisp, CREATURE, 10, 1, 2
2074, the_end, betterend:dry_shrubland, minecraft:enderman, MONSTER, 20, 3, 5
2075, the_end, betterend:dry_shrubland, minecraft:endermite, MONSTER, 10, 2, 3
2076, the_end, betterend:dry_shrubland, betterend:end_slime, MONSTER, 10, 2, 3
2077, the_end, betterend:dry_shrubland, betterend:shadow_walker, MONSTER, 5, 1, 2
2078, the_end, betterend:dry_shrubland, mutantmonsters:mutant_enderman, MONSTER, 1, 1, 1
2079, the_end, betterend:dry_shrubland, alexsmobs:mimicube, MONSTER, 10, 2, 3
2080, the_end, betterend:dry_shrubland, alexsmobs:farseer, MONSTER, 2, 1, 2
2081, the_end, betterend:dry_shrubland, cataclysm:endermaptera, MONSTER, 30, 2, 3
2082, the_end, betterend:dry_shrubland, endermanoverhaul:end_enderman, MONSTER, 10, 2, 3
2083, the_end, betterend:dry_shrubland, endermanoverhaul:end_islands_enderman, MONSTER, 10, 2, 3

2084, desert, biomesoplenty:dryland, alexsmobs:roadrunner, CREATURE, 2, 2, 3
2085, desert, biomesoplenty:dryland, alexsmobs:rattlesnake, CREATURE, 5, 2, 3
2086, desert, biomesoplenty:dryland, alexsmobs:tarantula_hawk, CREATURE, 10, 1, 2
2087, desert, biomesoplenty:dryland, iceandfire:deathworm, CREATURE, 5, 1, 2
2088, desert, biomesoplenty:dryland, legendarycreatures:desert_mojo, CREATURE, 5, 2, 3
2089, desert, biomesoplenty:dryland, legendarycreatures:scorpion, CREATURE, 25, 2, 3
2090, desert, biomesoplenty:dryland, legendarycreatures:wisp, CREATURE, 5, 2, 2
2091, desert, biomesoplenty:dryland, minecraft:camel, CREATURE, 40, 2, 3
2092, desert, biomesoplenty:dryland, minecraft:rabbit, CREATURE, 30, 3, 5
2093, desert, biomesoplenty:dryland, alexsmobs:guster, MONSTER, 30, 2, 3
2094, desert, biomesoplenty:dryland, born_in_chaos_v1:scarlet_persecutor, MONSTER, 5, 1, 2
2095, desert, biomesoplenty:dryland, born_in_chaos_v1:siamese_skeletons, MONSTER, 10, 1, 2
2096, desert, biomesoplenty:dryland, born_in_chaos_v1:nightmare_stalker, MONSTER, 1, 1, 1
2097, desert, biomesoplenty:dryland, born_in_chaos_v1:restless_spirit, MONSTER, 2, 1, 2
2098, desert, biomesoplenty:dryland, born_in_chaos_v1:dark_vortex, MONSTER, 5, 1, 2
2099, desert, biomesoplenty:dryland, born_in_chaos_v1:corpse_fly, MONSTER, 5, 1, 2
2100, desert, biomesoplenty:dryland, born_in_chaos_v1:fallen_chaos_knight, MONSTER, 3, 1, 2
2101, desert, biomesoplenty:dryland, born_in_chaos_v1:decrepit_skeleton, MONSTER, 10, 2, 3
2102, desert, biomesoplenty:dryland, born_in_chaos_v1:decaying_zombie, MONSTER, 12, 2, 3
2103, desert, biomesoplenty:dryland, born_in_chaos_v1:zombie_bruiser, MONSTER, 10, 2, 3
2104, desert, biomesoplenty:dryland, creeperoverhaul:desert_creeper, MONSTER, 10, 2, 3
2105, desert, biomesoplenty:dryland, endermanoverhaul:desert_enderman, MONSTER, 15, 2, 3
2106, desert, biomesoplenty:dryland, minecraft:creeper, MONSTER, 10, 1, 2
2107, desert, biomesoplenty:dryland, minecraft:enderman, MONSTER, 10, 2, 3
2108, desert, biomesoplenty:dryland, minecraft:husk, MONSTER, 35, 2, 4
2109, desert, biomesoplenty:dryland, minecraft:skeleton, MONSTER, 10, 2, 3
2110, desert, biomesoplenty:dryland, minecraft:spider, MONSTER, 15, 2, 3
2111, desert, biomesoplenty:dryland, minecraft:witch, MONSTER, 3, 2, 3
2112, desert, biomesoplenty:dryland, minecraft:zombie, MONSTER, 20, 2, 4
2113, desert, biomesoplenty:dryland, minecraft:zombie_villager, MONSTER, 10, 2, 3

2114, beach, biomesoplenty:dune_beach, alexsmobs:platypus, CREATURE, 5, 1, 2
2115, beach, biomesoplenty:dune_beach, alexsmobs:raccoon, CREATURE, 10, 1, 2
2116, beach, biomesoplenty:dune_beach, alexsmobs:seagull, CREATURE, 30, 2, 3
2117, beach, biomesoplenty:dune_beach, born_in_chaos_v1:thornshell_crab, CREATURE, 15, 1, 3
2118, beach, biomesoplenty:dune_beach, legendarycreatures:peacock_spider, CREATURE, 10, 1, 3
2119, beach, biomesoplenty:dune_beach, minecraft:turtle, CREATURE, 40, 3, 5
2120, beach, biomesoplenty:dune_beach, quark:crab, CREATURE, 25, 2, 4
2121, beach, biomesoplenty:dune_beach, alexsmobs:fly, AMBIENT, 10, 2, 2
2122, beach, biomesoplenty:dune_beach, alexsmobs:triops, WATER_AMBIENT, 10, 2, 3
2123, beach, biomesoplenty:dune_beach, born_in_chaos_v1:corpse_fly, MONSTER, 5, 1, 2
2124, beach, biomesoplenty:dune_beach, born_in_chaos_v1:zombie_fisherman, MONSTER, 10, 1, 1
2125, beach, biomesoplenty:dune_beach, creeperoverhaul:beach_creeper, MONSTER, 10, 2, 3
2126, beach, biomesoplenty:dune_beach, minecraft:creeper, MONSTER, 15, 1, 2
2127, beach, biomesoplenty:dune_beach, minecraft:enderman, MONSTER, 10, 2, 2
2128, beach, biomesoplenty:dune_beach, minecraft:skeleton, MONSTER, 10, 2, 3
2129, beach, biomesoplenty:dune_beach, minecraft:spider, MONSTER, 15, 2, 3
2130, beach, biomesoplenty:dune_beach, minecraft:zombie, MONSTER, 20, 2, 4
2131, beach, biomesoplenty:dune_beach, mowziesmobs:naga, MONSTER, 10, 1, 1
2132, the_end, betterend:dust_wastelands, betterend:dragonfly, AMBIENT, 10, 2, 3
2133, the_end, betterend:dust_wastelands, betterend:silk_moth, AMBIENT, 15, 3, 5
2134, the_end, betterend:dust_wastelands, alexsmobs:cosmic_cod, AMBIENT, 10, 2, 3
2135, the_end, betterend:dust_wastelands, betterend:end_fish, WATER_AMBIENT, 10, 2, 3
2136, the_end, betterend:dust_wastelands, betterend:cubozoa, WATER_AMBIENT, 5, 1, 2
2137, the_end, betterend:dust_wastelands, alexsmobs:endergrade, CREATURE, 10, 2, 4
2138, the_end, betterend:dust_wastelands, alexsmobs:spectre, CREATURE, 10, 2, 3
2139, the_end, betterend:dust_wastelands, alexsmobs:enderiophage, CREATURE, 10, 2, 3
2140, the_end, betterend:dust_wastelands, alexsmobs:cosmaw, CREATURE, 5, 1, 2
2141, the_end, betterend:dust_wastelands, legendarycreatures:ender_wisp, CREATURE, 10, 1, 2
2142, the_end, betterend:dust_wastelands, minecraft:enderman, MONSTER, 20, 3, 5
2143, the_end, betterend:dust_wastelands, minecraft:endermite, MONSTER, 10, 2, 3
2144, the_end, betterend:dust_wastelands, betterend:end_slime, MONSTER, 10, 2, 3
2145, the_end, betterend:dust_wastelands, betterend:shadow_walker, MONSTER, 5, 1, 2
2146, the_end, betterend:dust_wastelands, mutantmonsters:mutant_enderman, MONSTER, 1, 1, 1
2147, the_end, betterend:dust_wastelands, alexsmobs:mimicube, MONSTER, 10, 2, 3
2148, the_end, betterend:dust_wastelands, alexsmobs:farseer, MONSTER, 2, 1, 2
2149, the_end, betterend:dust_wastelands, cataclysm:endermaptera, MONSTER, 30, 2, 3
2150, the_end, betterend:dust_wastelands, endermanoverhaul:end_enderman, MONSTER, 10, 2, 3
2151, the_end, betterend:dust_wastelands, endermanoverhaul:end_islands_enderman, MONSTER, 10, 2, 3

2152, the_end, betterend:empty_aurora_cave, betterend:dragonfly, AMBIENT, 10, 2, 3
2153, the_end, betterend:empty_aurora_cave, betterend:silk_moth, AMBIENT, 15, 3, 5
2154, the_end, betterend:empty_aurora_cave, alexsmobs:cosmic_cod, AMBIENT, 10, 2, 3
2155, the_end, betterend:empty_aurora_cave, betterend:end_fish, WATER_AMBIENT, 10, 2, 3
2156, the_end, betterend:empty_aurora_cave, betterend:cubozoa, WATER_AMBIENT, 5, 1, 2
2157, the_end, betterend:empty_aurora_cave, alexsmobs:endergrade, CREATURE, 10, 2, 4
2158, the_end, betterend:empty_aurora_cave, alexsmobs:spectre, CREATURE, 10, 2, 3
2159, the_end, betterend:empty_aurora_cave, alexsmobs:enderiophage, CREATURE, 10, 2, 3
2160, the_end, betterend:empty_aurora_cave, alexsmobs:cosmaw, CREATURE, 5, 1, 2
2161, the_end, betterend:empty_aurora_cave, legendarycreatures:ender_wisp, CREATURE, 10, 1, 2
2162, the_end, betterend:empty_aurora_cave, minecraft:enderman, MONSTER, 20, 3, 5
2163, the_end, betterend:empty_aurora_cave, minecraft:endermite, MONSTER, 10, 2, 3
2164, the_end, betterend:empty_aurora_cave, betterend:end_slime, MONSTER, 10, 2, 3
2165, the_end, betterend:empty_aurora_cave, betterend:shadow_walker, MONSTER, 5, 1, 2
2166, the_end, betterend:empty_aurora_cave, mutantmonsters:mutant_enderman, MONSTER, 1, 1, 1
2167, the_end, betterend:empty_aurora_cave, alexsmobs:mimicube, MONSTER, 10, 2, 3
2168, the_end, betterend:empty_aurora_cave, alexsmobs:farseer, MONSTER, 2, 1, 2
2169, the_end, betterend:empty_aurora_cave, cataclysm:endermaptera, MONSTER, 30, 2, 3
2170, the_end, betterend:empty_aurora_cave, endermanoverhaul:end_enderman, MONSTER, 10, 2, 3
2171, the_end, betterend:empty_aurora_cave, endermanoverhaul:end_islands_enderman, MONSTER, 10, 2, 3

2172, the_end, betterend:empty_end_cave, betterend:dragonfly, AMBIENT, 10, 2, 3
2173, the_end, betterend:empty_end_cave, betterend:silk_moth, AMBIENT, 15, 3, 5
2174, the_end, betterend:empty_end_cave, alexsmobs:cosmic_cod, AMBIENT, 10, 2, 3
2175, the_end, betterend:empty_end_cave, betterend:end_fish, WATER_AMBIENT, 10, 2, 3
2176, the_end, betterend:empty_end_cave, betterend:cubozoa, WATER_AMBIENT, 5, 1, 2
2177, the_end, betterend:empty_end_cave, alexsmobs:endergrade, CREATURE, 10, 2, 4
2178, the_end, betterend:empty_end_cave, alexsmobs:spectre, CREATURE, 10, 2, 3
2179, the_end, betterend:empty_end_cave, alexsmobs:enderiophage, CREATURE, 10, 2, 3
2180, the_end, betterend:empty_end_cave, alexsmobs:cosmaw, CREATURE, 5, 1, 2
2181, the_end, betterend:empty_end_cave, legendarycreatures:ender_wisp, CREATURE, 10, 1, 2
2182, the_end, betterend:empty_end_cave, minecraft:enderman, MONSTER, 20, 3, 5
2183, the_end, betterend:empty_end_cave, minecraft:endermite, MONSTER, 10, 2, 3
2184, the_end, betterend:empty_end_cave, betterend:end_slime, MONSTER, 10, 2, 3
2185, the_end, betterend:empty_end_cave, betterend:shadow_walker, MONSTER, 5, 1, 2
2186, the_end, betterend:empty_end_cave, mutantmonsters:mutant_enderman, MONSTER, 1, 1, 1
2187, the_end, betterend:empty_end_cave, alexsmobs:mimicube, MONSTER, 10, 2, 3
2188, the_end, betterend:empty_end_cave, alexsmobs:farseer, MONSTER, 2, 1, 2
2189, the_end, betterend:empty_end_cave, cataclysm:endermaptera, MONSTER, 30, 2, 3
2190, the_end, betterend:empty_end_cave, endermanoverhaul:end_enderman, MONSTER, 10, 2, 3
2191, the_end, betterend:empty_end_cave, endermanoverhaul:end_islands_enderman, MONSTER, 10, 2, 3

2192, the_end, betterend:empty_smaragdant_cave, betterend:dragonfly, AMBIENT, 10, 2, 3
2193, the_end, betterend:empty_smaragdant_cave, betterend:silk_moth, AMBIENT, 15, 3, 5
2194, the_end, betterend:empty_smaragdant_cave, alexsmobs:cosmic_cod, AMBIENT, 10, 2, 3
2195, the_end, betterend:empty_smaragdant_cave, betterend:end_fish, WATER_AMBIENT, 10, 2, 3
2196, the_end, betterend:empty_smaragdant_cave, betterend:cubozoa, WATER_AMBIENT, 5, 1, 2
2197, the_end, betterend:empty_smaragdant_cave, alexsmobs:endergrade, CREATURE, 10, 2, 4
2198, the_end, betterend:empty_smaragdant_cave, alexsmobs:spectre, CREATURE, 10, 2, 3
2199, the_end, betterend:empty_smaragdant_cave, alexsmobs:enderiophage, CREATURE, 10, 2, 3
2200, the_end, betterend:empty_smaragdant_cave, alexsmobs:cosmaw, CREATURE, 5, 1, 2
2201, the_end, betterend:empty_smaragdant_cave, legendarycreatures:ender_wisp, CREATURE, 10, 1, 2
2202, the_end, betterend:empty_smaragdant_cave, minecraft:enderman, MONSTER, 20, 3, 5
2203, the_end, betterend:empty_smaragdant_cave, minecraft:endermite, MONSTER, 10, 2, 3
2204, the_end, betterend:empty_smaragdant_cave, betterend:end_slime, MONSTER, 10, 2, 3
2205, the_end, betterend:empty_smaragdant_cave, betterend:shadow_walker, MONSTER, 5, 1, 2
2206, the_end, betterend:empty_smaragdant_cave, mutantmonsters:mutant_enderman, MONSTER, 1, 1, 1
2207, the_end, betterend:empty_smaragdant_cave, alexsmobs:mimicube, MONSTER, 10, 2, 3
2208, the_end, betterend:empty_smaragdant_cave, alexsmobs:farseer, MONSTER, 2, 1, 2
2209, the_end, betterend:empty_smaragdant_cave, cataclysm:endermaptera, MONSTER, 30, 2, 3
2210, the_end, betterend:empty_smaragdant_cave, endermanoverhaul:end_enderman, MONSTER, 10, 2, 3
2211, the_end, betterend:empty_smaragdant_cave, endermanoverhaul:end_islands_enderman, MONSTER, 10, 2, 3

2212, the_end, minecraft:end_barrens, betterend:dragonfly, AMBIENT, 10, 2, 3
2213, the_end, minecraft:end_barrens, betterend:silk_moth, AMBIENT, 15, 3, 5
2214, the_end, minecraft:end_barrens, alexsmobs:cosmic_cod, AMBIENT, 10, 2, 3
2215, the_end, minecraft:end_barrens, betterend:end_fish, WATER_AMBIENT, 10, 2, 3
2216, the_end, minecraft:end_barrens, betterend:cubozoa, WATER_AMBIENT, 5, 1, 2
2217, the_end, minecraft:end_barrens, alexsmobs:endergrade, CREATURE, 10, 2, 4
2218, the_end, minecraft:end_barrens, alexsmobs:spectre, CREATURE, 10, 2, 3
2219, the_end, minecraft:end_barrens, alexsmobs:enderiophage, CREATURE, 10, 2, 3
2220, the_end, minecraft:end_barrens, alexsmobs:cosmaw, CREATURE, 5, 1, 2
2221, the_end, minecraft:end_barrens, legendarycreatures:ender_wisp, CREATURE, 10, 1, 2
2222, the_end, minecraft:end_barrens, minecraft:enderman, MONSTER, 20, 3, 5
2223, the_end, minecraft:end_barrens, minecraft:endermite, MONSTER, 10, 2, 3
2224, the_end, minecraft:end_barrens, betterend:end_slime, MONSTER, 10, 2, 3
2225, the_end, minecraft:end_barrens, betterend:shadow_walker, MONSTER, 5, 1, 2
2226, the_end, minecraft:end_barrens, mutantmonsters:mutant_enderman, MONSTER, 1, 1, 1
2227, the_end, minecraft:end_barrens, alexsmobs:mimicube, MONSTER, 10, 2, 3
2228, the_end, minecraft:end_barrens, alexsmobs:farseer, MONSTER, 2, 1, 2
2229, the_end, minecraft:end_barrens, cataclysm:endermaptera, MONSTER, 30, 2, 3
2230, the_end, minecraft:end_barrens, endermanoverhaul:end_enderman, MONSTER, 10, 2, 3
2231, the_end, minecraft:end_barrens, endermanoverhaul:end_islands_enderman, MONSTER, 10, 2, 3

2232, the_end, minecraft:end_highlands, betterend:dragonfly, AMBIENT, 10, 2, 3
2233, the_end, minecraft:end_highlands, betterend:silk_moth, AMBIENT, 15, 3, 5
2234, the_end, minecraft:end_highlands, alexsmobs:cosmic_cod, AMBIENT, 10, 2, 3
